titulo,autor,ISBN_13,ISBN_10,ano,paginas,idioma,editora,rating,avaliacao,resenha,abandonos,relendo,querem_ler,lendo,leram,descricao,genero,male,female
Imagine all the people,Fabien Oaki,9788587795656,8587795651,2004,163,português,Verus,3.7,3,0,1,0,6,0,8,nan,nan,53,47
O Som do Silêncio,Luiz Carlos Lisboa,9788587795564,8587795562,2004,116,português,Verus,4.3,3,0,0,0,8,0,5,"Tomando o acaso e a curiosidade como elementos insubstituíveis no entendimento de si mesmo e do mundo ""nessa ordem"", o autor passeia seus textos por trilhas ainda não abertas e achados que não pertencem ao desbravador Esta coletânea retoma essa busca a cada abordagem, sem autoridade ou hierarquia, andando com o leitor sem conduzi-lo pelo braço", ,42,58
O mundo num grão de areia,Rubem Alves,9788587795335,8587795333,2004,118,português,Verus,4.2,115,2,3,0,137,6,278,"Tendo como inspiração a poesia de William Blake, Rubem Alves nos surpreende mais uma vez com esta coletânea de crônicas inéditasNestes textos poéticos, de intenso lirismo, é possível encontrar, a partir do verso Um mundo num grão de areia, todas as facetas que compõem o universo do ser humano e descobrir a riqueza de vida existente num minúsculo grão de areia, que nada mais é do que nosso mundo irreveladoEsta é uma obra essencial para quem se sente amante da poesia, da arte, do sonho amante do ser humano e de seu universo",Crônicas ,28,72
Homem algum é uma ilha,Thomas Merton,9788587795410,8587795414,2003,221,português,Verus,4.9,8,0,1,0,226,13,40,"O relançamento de ""Homem Algum é uma ilha"", de Thomas Merton, um dos mais influentes escritores espirituais do século XX, retoma uma obra clássica e atemporal O autor, exaltado como profeta e crítico dos conflitos da sociedade contemporânea, escreveu o livro na década de 50, mas o tema não perdeu a atualidade Como precursor audacioso da promoção do diálogo ecumênico entre cristãos, Merton traz reflexões modernas e pessoais em busca do sentido da vida interior para que o homem encontre a si mesmo Esta obra marcou a época de uma geração de intelectuais, leigos e religiosos, em razão das meditações sobre as urgentes questões sociais da nossa era Os temas são tratados de maneira simples e analisados por Merton com muita lucidez Valores como a liberdade, a esperança, a caridade e a sinceridade refletem as verdades básicas que sustentam a vida do espírito Entre os livros da autoria de Merton, ""Homem algum é uma ilha"" é um dos mais importantes O termo ilha significa dizer que na vida só existe sentido quando se admite que nenhum homem é sozinho, que ninguém se basta a si mesmo e que todos dependem uns dos outros O título foi inspirado no texto de John Donne: Homem algum é uma ilha completa em si mesma; todo homem é um fragmento do continente, uma parte do oceano"," A morte de cada homem me enfraquece porque sou parte da humanidade; assim, nunca perguntes por quem o sino dobra; ele dobra por ti (meditação 17) ",44,56
Osho Todos os Dias,Osho,9788587795472,8587795473,2003,374,português,Verus,4.3,82,2,10,9,385,44,178,"Por mais de trinta anos, os insights de Osho encantaram e desafiaram os buscadores espirituais Osho todos os dias representa alguns desses insights - uma compreensão que sintetiza uma vasta extensão de tradições espirituais e filosóficas, com a contribuição da ciência moderna e da psicologia Este volume inspirador oferece aos leitores opções diárias para viver plenamente no aqui e agora, desafiando-os a abraçar uma nova maneira de ser que integre corpo, mente e espírito",  ,25,75
Me dá o TEU contente que eu te dou o MEU,Cristina Mattoso,9788587795403,8587795406,2003,144,português,Verus,4.5,27,0,0,0,12,1,47,"Este é um livro diferente de qualquer outro!!! Nele você encontrará falas infantis preciosas como estas:""A mãe deu uma bronca no garotinho porque, logo depois do banho, ele foi brincar de jogar água no cachorro e se molhou inteiro Um tempinho depois, ele começou a rodear a mãe, dizendo: 'Ah! mamãe, me dá o teu contente! Me dá o teu contente que eu te dou o meu!'""""Vovô, hoje é amanhã de ontem, não é?""""'Déia, se você se encontrasse com Deus, o que é que você pediria?''Eu pediria para ele acabá com as coisas que não existem","'""""É uma gostosura de livro!!!""(Rubem Alves) ",23,77
Um caso de amor com a vida,Regis de Morais,9788587795489,8587795481,2003,162,português,Verus,3.3,3,0,1,0,2,1,4,"""Com a sabedoria peculiar aos grandes mestres, Regis de Morais nos convida a pôr os pés na estrada para redescobrirmos o sentido da vida, o sentido do amorAtravés de textos de rara beleza, o autor nos leva a percorrer o caminho que liga os opostos sempre presentes nas experiências particulares e universais: o nascer e o morrer,o perder e o ganhar, o chorar e o rir, o odiar e o amar",""" ",56,44
"Espelho, espelho meu, quem sou eu?",Maria Salette,9788587795380,8587795384,2003,140,português,Verus,3.6,15,1,1,0,71,9,34,"Você é uma pessoa emotiva? Objetiva? Simpática? Ousada? Criativa? Prática? Ansiosa? Otimista? Essas são algumas das características de temperamento enfocadas neste livro Sua proposta é oferecer um guia de auto conhecimento Através do qual você terá um encontro consigo mesmo, numa experiência enriquecedora ""Este livro pretende ser para você um espelho Não um espelho comum, que apenas reflita a sua imagem, mas um espelho mágico que reflita a sua alma"" Utilizando estórias, lições de vida, fundamentos de psicologia, questionamentos que levam à auto-análise e testes que possibilitam maior autoconhecimento", ,20,80
Para que minha família se transforme,Maria Salette,9788587795465,8587795465,2003,125,português,Verus,4.0,16,0,0,0,13,1,27,"Este livro vem sugerir algumas mudanças que você pode fazer para que sua família se transforme Acredite: quando trocar antigos comportamentos por essas novas maneiras de conviver, os seus relacionamentos também mudarão, embora as pessoas continuem as mesmas", Experimente! ,24,76
O ABSURDO E A GRAÇA,Jean-Yves Leloup,9788587795441,8587795449,2003,335,português,Verus,4.3,6,0,3,0,56,2,19,"A obra autobiográfica apresenta o sofrimento e as vivências absurdas de um homem que, depois de uma fase infanto-juvenil desconcertante, vai em busca da graça que o transforma no ser humano que é hoje Filósofo, padre ortodoxo e conferencista de renome internacional, Jean-Yves Leloup mostra sem rodeios as suas experiências humanas e espirituais, as suas quedas e reabilitações Muito mais que o relato de uma trajetória, é uma confissão surpreendente, é a vida de um homem de fé inquestionável, de alguém que possui um respeito profundo pelo ser humano e pela liberdade O seu exímio conhecimento da Bíblia e das tradições religiosas, aliado à abertura para todos os tipos de credos e experiências, fez de Leloup um precursor dos encontros e diálogos inter-religiosos Embora enraizado no cristianismo, para ele, o absurdo são as rivalidades religiosas É impossível não se surpreender com este livro diante dos relatos das mais diversas experiências e da exposição de uma vida de rejeição, abandono, abuso, engano e intolerância Leloup sentiu na pele as dores e absurdos que levariam qualquer outro homem à ruína, mas a superação o transformou num ser humano admirável", ,43,57
Eclipse de Deus,Martin Buber,9788576860150,8576860155,2003,153,português,Verus,4.4,8,0,0,0,38,3,15,"Vivemos atualmente, diz Buber, o tempo do eclipse de Deus Como no eclipse do sol, parece que ele não existe mais, se não se sabe que de fato está encoberto No entanto, o eclipsar da luz de Deus não é um apagar-se Amanhã, o que se interpôs sobre ele já poderá ter ido embora", ,60,40
A sabedoria do salgueiro,Verus,nan,nan,2003,0,português,Verus,3.8,2,0,0,0,1,1,2,nan,nan,38,63
O Túnel e a Luz,Elisabeth Kübler-Ross,9788587795458,8587795457,2003,218,português,Verus,4.4,32,2,0,0,139,13,65,"O que há de tão misterioso no momento da morte? O que sentem e vêem as pessoas que já tiveram a experiência de quase-morte? Como lidar bem com a idéia da finitude da vida? Como Ajudar efetivamente as pessoa que estão morrendo?É com amplo conhecimento, profundo respeito e extremo amor que a autora revela diversas experiências de quase-morte reais, extraordinárias e muito humanas Mais do que simplesmente tocar o leitor, despertando-lhe a curiosidade e a sensibilidade, ""O Túnel e a Luz"" o ajuda a refletir sobre a melhor maneira de viver, enquanto o leva a reconciliar-se com a idéia da morte",Religião e Espiritualidade ,24,76
Experimentar Deus,Leonardo Boff,9788587795298,8587795295,2002,168,português,Verus,3.9,45,3,3,1,39,14,98,"O interesse de Leonardo Boff, através deste livro, reside em criar espaço para que cada um possa fazer sua própria experiência de Deus Afirma que para encontrarmos o Deus vivo e verdadeiro a quem podemos entregar o coração, precisamos negar aquele Deus construído pelo imaginário religioso e aprisionado nas malhas das doutrinasProcura atingir, nesse sentido, a situação do homem contemporâneo  manipulado pela sociedade de consumo e produção, informação e entretenimento, que vê-se, muitas vezes, perdido no emaranhado das solicitações aos sentidos que lhe advêm por todos os lados, embora sinta que dentro de sua vida se anuncia uma exigência mais alta do que aquela de apenas produzir, trabalhar e consumir: existe a necessidade da celebração, da alegria de viver e da experiência do Divino e do MistérioAssim, neste livro, o teólogo Leonardo Boff nos oferece um texto libertador sobre como podemos experimentar Deus com a totalidade de nosso ser Segundo Boff, Deus perpassa toda a realidade, pode ser percebido e experimentado nas mais diferentes situações da vida e em cada detalhe da vida pessoal e do universoPara ele, a experiência de Deus não constitui um luxo só de alguns Estamos todos aptos a sentir Deus a partir do coração puro e da mente sincera Experimentar Deus é tirar o mistério do universo do anonimato e conferir-lhe um nome, o da nossa reverência e de nosso afeto", ,49,51
Conversas sobre política,Rubem Alves,9788587795304,8587795309,2002,116,português,Verus,4.0,115,5,4,2,166,24,236,"Rubem Alves tem a capacidade de expressar em palavras aquilo que as pessoas pensam Conversas sobre política realiza a proeza de tirar os leitores do conformismo e da resignação para lança-los para a frente, fazendo com que se posicionem diante da realidade atual Rubem Alves, o poeta do cotidiano, o plantador de jardins, mais uma vez provocará o mundo interior, fazendo com que as pessoas repensem com mais acuidade o ser político e o ser na política", ,43,57
O Monge Que Vendeu Sua Ferrari,Robin Sharma,9788587795243,8587795244,2002,212,português,Verus,3.9,363,16,34,2,476,64,712,"Nessa obra, o autor ensina como dominar a mente e as emoções, ter autocontrole e colocar o tempo a seu favor, seja para tomar decisões, definir metas ou até mesmo comandar equipes Além disso, mostra como é possível alcançar paz de espírito e felicidade Para isso, o livro aborda a fascinante história de Julian Mantle, um brilhante e bem-sucedido advogado que, após um grave ataque cardíaco, se descobre frente a frente com o dilema que mais atormenta o homem: Qual é o sentido da vida? A partir daí, o protagonista se desfaz de todos os seus bens materiais, abandona a carreira e parte em busca de respostas, isolando-se de todos e seguindo para Índia, onde encontra sábios, no alto do Himalaia, que lhe ensinam o verdadeiro caminho para o encontro de si mesmo",Ficção ,43,57
Fenômeno Bullying,Cleo Fante ,9788587795694,8587795694,2002,224,português,Verus,3.9,29,0,1,1,284,16,64,"""Bullying"" é um conjunto de atitudes agressivas, intencionais e repetitivas, que ocorrem sem motivação evidente, adotado por um ou mais alunos contra outros, causando dor, angústia e sofrimento Com uma proposta de ""Educar para a Paz"", a pesquisadora e educadora brasileira Cleo Fante, escreveu o livro ""Fenômeno Bullying"" Em uma edição revisada e atualizada por recentes pesquisas, o texto apresenta o ""Bullying"", como um fenômeno que vem sendo tema de preocupação e de interesse nos meios educacionais e sociais em todo o mundo Embora ofereça um panorama mundial sobre o problema, Cleo Fante destaca a realidade vivida hoje no Brasil e apresenta um programa inédito e extremamente prático a ser aplicado nas escolas, que já vem sendo desenvolvido em alguns estabelecimentos de ensino, com sucesso O livro ""Fenômeno Bullying"" tem como objetivo despertar autoridades educacionais, educadores, pais, alunos e a sociedade em geral para o assunto, muitas vezes encoberto nas escolas Acreditando que uma nova geração, mais pacífica, é possível, o Programa Educar para a Paz é fundamentado em valores como a tolerância e a solidariedade, que devem ser estimulados entre os alunos, através do diálogo O respeito e as relações de cooperação também precisam ser valorizados Para isso é preciso que haja união e interesse de todos: direção da escola, professores e comunidade", ,19,81
Transparências da Eternidade,Rubem Alves,9788587795250,8587795252,2002,145,português,Verus,4.1,73,2,2,2,62,3,176,"Neste lançamento estão reunidos textos que abarcam, com maestria e conhecimento de causa, os principais questionamentos existenciais da humanidade Os textos fluem com uma simplicidade de rara beleza, e o resultado não poderia ser melhor: a espiritualidade é apresentada sob uma nova ótica, atraindo, instigando o leitor que busca ampliar seus horizontes", ,36,64
Para que minha vida se transforme,Maria Salette,9788587795274,8587795279,2002,122,português,Verus,4.2,75,0,0,4,119,20,159,"Você esta segurando agora o seu livro de cabeceira Ele apresenta histórias que devem ser lidas ou contadas no dia-a-dia e que se destinam a todos os que estão à sua volta: crianças, jovens e adultos, parentes e amigos até mesmo aos seus inimigos mais intimos!!!""Estas histórias simples e populares, escritas de maneira leve e de fácil compreensão, mostram que a vida é assim mesmo, simples e leve; que a felicidade está dentro de cada um de nós; que podemos ser agentes de nossa vida e não reagentes; que não somos os donos da verdade; que devemos ver as pessoas além das aparências e cultivar valores cultivar tudo o que é nobre e contribui para que o mundo esteja mais em paz",""" ",24,76
Para que minha vida se transforme 2,Maria Salette,9788587795274,8587795279,2002,122,português,Verus,3.7,34,1,0,0,13,2,57,"Você esta segurando agora o seu livro de cabeceira Ele apresenta histórias que devem ser lidas ou contadas no dia-a-dia e que se destinam a todos os que estão à sua volta: crianças, jovens e adultos, parentes e amigos até mesmo aos seus inimigos mais intimos!!!""Estas histórias simples e populares, escritas de maneira leve e de fácil compreensão, mostram que a vida é assim mesmo, simples e leve; que a felicidade está dentro de cada um de nós; que podemos ser agentes de nossa vida e não reagentes; que não somos os donos da verdade; que devemos ver as pessoas além das aparências e cultivar valores cultivar tudo o que é nobre e contribui para que o mundo esteja mais em paz",""" ",25,75
Normose,Jean-Yves Leloup,9788587795502,8587795503,2002,233,português,Verus,4.2,50,0,5,0,217,26,85,"Três grandes escritores de espiritualidade da atualidade  Pierre Weil, Jean-Yves Leloup e Roberto Crema  são co-autores deste livro que incita profundas reflexões e promete provocar mudanças de atitude, estimulando o resgate da vastidão da alma e expondo a necessidade de rever o conceito da normalidadeCom a normose se manifestando em todos os campos da nossa vida, somos normóticos quando possuímos opiniões, atitudes, comportamentos e hábitos considerados normais, mas que, numa concepção doentia, não ocasionam mudanças positivas para nossa evolução Em linguagem acessível e simples, ""NORMOSE  A patologia da normalidade"" proporciona a consciência dessa realidade, gerando o auto-conhecimento e a necessidade de superar conceitos em busca da plenitude do nosso ser", ,38,62
"Crise, Oportunidade de Crescimento",Leonardo Boff,9788587795342,8587795341,2002,212,português,Verus,4.3,11,1,2,1,66,6,39,"Autor consagrado, Leonardo Boff mais uma vez nos presenteia com uma obra atual, criativa, cheia de sabedoria Este é um livro de esperança que convida o leitor a refletir sobre a realidade do ser humano em todas as suas dimensões - relacional, profissional, espiritualFala da crise que atinge os fundamentos das convicções estabelecidas, das culturas, das religiões, dos valores, das políticas e do cotidiano - e a crise sempre pressupõe riscos Mas onde há crise há também inúmeras oportunidades que conduzem ao amadurecimento e crescimento do ser humano enquanto indivíduo e membro da sociedade E o autor revela todas essas oportunidades que a crise traz consigo, apontando para caminhos, para saídas que tornam o ser humano mais digno, mais realizado e, por isso, mais feliz", ,50,50
A Cruz Nossa de Cada Dia,Leonardo Boff,9788587795359,858779535X,2002,87,inglês,Verus,4.0,9,0,1,0,16,2,21,"Leonardo Boff nos convida a pensar sobre a cruz e a morte de forma libertadora à luz daquele que carregou também a cruz, sofreu uma morte ignominiosa e ressuscitou na plenitude da vida transfigurada: Jesus de Nazaré Em sua indispensável obra, o teólogo elabora os distintos níveis de sentido da cruz e da morte a fim de que fique clara a articulação entre eles, facilitando-nos recuperar as expressões da tradição  cruz e morte  como sacrifício e solidariedade A cruz humana reside no sentimento de estarmos dimensionados para o infinito, mas enraizados numa situação finita Aqui reside a inadequação dolorida, nosso desequilíbrio ontológico, mistério da existência humana Carregar a cruz e acolher a morte comporta um convite à tolerância, à paciência histórica, à alegria do provisório Com sabedoria e simplicidade, Boff afirma que o término do processo da morte propicia ao ser humano uma última entrega a alguém maior, propicia uma extrapolação completa do próprio centro para o coração de Deus Viver, então, não significa caminhar inexoravelmente para a morte, mas para a Fonte da vida Nesse sentido, a morte não configura uma tragédia, mas a possibilidade de uma nova vida, mais densa e plena", ,56,44
O Despertar do SEr,Jean Vanier,9788587795311,8587795317,2002,176,português,Verus,3.6,6,1,0,0,8,1,12,"Nesta obra provocativa e, ao mesmo tempo, profundamente humana e terna, Jean Vanier nos desafia, de modo amoroso, a voltar o olhar para aqueles que percebemos como fracos, diferentes ou inferiores em nosso meio Quando esbarramos nesse universo novo para nós, quando ousamos observá-lo deixando de lado todo e qualquer julgamento, sentimos que o nosso coração se enternece, se abre, e do mais íntimo de nosso ser experimentamos um novo despertar â o despertar de um eu que soma força e fraqueza, que conjuga temor e coragem, que reúne certeza e vacilação, que oscila entre pecado e santidade, o despertar de um eu que caminha para a integração, para a plenitude E é nesse despertar do ser, nessa ânsia de viver em plenitude, que aprendemos a nos aceitar como somos e a aceitar o outro como ele é O autor, com toda a simplicidade, experiência e verdade, com o testemunho de quem vivenciou dolorosa e amorosamente o processo de abertura e integração em sua vida e na vida de tantas pessoas que fazem parte de seu universo, se revela um verdadeiro mestre",  ,43,57
AMAR ... APESAR DE TUDO,Jean-Yves Leloup,nan,nan,2002,172,português,Verus,4.0,12,1,1,0,37,2,22,"Neste livro Jean-Yves Leloup e Marie de Solemne abordam a esperança, a vontade de ajudar a reencontrar o sentido da caminhada, o gosto da alegria, a energia para que cada um transforme seu destino em um projeto consciente O autor ajuda os leitores a desatarem os nós, a interpretar o destino, a dar-lhe sentido e leva as pessoas a compreenderem que a felicidade não se encontra nas coisas, nos objetos, mas na adesão do coração e da inteligência ao Ser Para Jean-Yves é importante que as pessoas reencontrem a capacidade para amar", ,25,75
Como Questionar a Vida Com Sabedoria,Matthew Linn e Outros,9788587795267,8587795260,2002,113,português,Verus,3.7,3,0,0,0,0,0,6,"Propondo-nos um processo profundo e constante de auto-análise, os autores nos indicam como podemos chegar à maturidade emocional e espiritual", ,29,71
Como Questionar a Vida Com Sabedoria,Matthew Linn e Outros,9788587795267,8587795260,2002,113,português,Verus,3.7,3,0,0,0,0,0,6,"Propondo-nos um processo profundo e constante de auto-análise, os autores nos indicam como podemos chegar à maturidade emocional e espiritual", ,29,71
Como Questionar a Vida Com Sabedoria,Matthew Linn e Outros,9788587795267,8587795260,2002,113,português,Verus,3.7,3,0,0,0,0,0,6,"Propondo-nos um processo profundo e constante de auto-análise, os autores nos indicam como podemos chegar à maturidade emocional e espiritual", ,29,71
Conversas Sobre Politica,Rubem Alves,9788576860716,8576860716,2002,116,português,Verus,4.0,115,5,4,2,166,24,236,"No estilo que o caracteriza - instigante, reflexivo, corajoso, verdadeiro, transparente, por vezes crítico e mordaz -, Rubem Alves tem a capacidade de expressar em palavras aquilo que intuímosConversas sobre política é um livro inteligente, corajoso, necessário, que realiza a proeza de nos tirar do conformismo e da resignação para nos lançar para frente, fazendo com que nos posicionemos diante da realidade atual Porque nos faz pensar, nos faz sonhar, o autor, com esta obra, nos leva a reivindicar da política o cumprimento de seu papel, de sua verdadeira missão - a de ""sonhar os sonhos do povo e se dedicar a transformá-los em realidade""Rubem Alves, o mestre da palavra, o poeta do cotidiano, o plantador de jardins, mais uma vez provoca nosso mundo interior, nossas convicções, fazendo-nos repensar com mais acuidade nosso ser político e nosso ser na política",  ,43,57
"Onde Existe Amor, Deus Aí Está",Leon Tolstói,9788587795212,858779521X,2001,128,português,Verus,4.3,124,7,2,0,303,10,233,"Contos espirituais de Tolstói? Mas como pode ser isso? O leitor talvez fique intrigado, pois o que conhece de Tolstói são aqueles grandes romances que marcaram época  como ""Anna Karenina"" e ""Guerra e paz"", por exemplo  e que, ao mesmo tempo, por seu peso, importância e beleza, já pertencem a todas as épocas Entretanto o mundo moderno desconhece os contos espirituais de Tolstói como parte de seu legado e herança literária Escritos sob pretexto de buscar esclarecimentos para os problemas morais e religiosos de sua época e para o grande mistério pelo qual sempre fora fascinado  o sentido da vida  seus contos espirituais proporcionam momentos de incomparável riqueza, sabedoria e crescimento pessoal Eles representam ficção da mais excelente qualidade: histórias criativas, cheias de imaginação, ricas em ensinamento, evocando em nosso íntimo o desejo de sermos melhor; histórias que nos fazem refletir sobre a necessidade de sermos coerentes, de vivermos fiéis à mensagem evangélica na medida em que tocam o nosso coração ao nos apresentarem situações reais, personagens que têm vida própria, uma visão de mundo rica, colorida, com sabor de realidade Para resgatar esse universo espiritual pouco conhecido por seus admiradores, a Verus Editora oferece o presente volume que reúne alguns desses contos escolhidos com especial critério",Contos ,42,58
Você já viu um elefante espirrar?,Snyder,9788587795168,8587795163,2001,74,português,Verus,5.0,1,0,0,0,0,0,3,"Livro que enfoca de maneira divertida a criação do mundo, salientando as características tão singulares de alguns animais", ,20,80
Não temas a noite escura da alma,João da Cruz,9788587795144,8587795147,2001,151,português,Verus,0.0,0,0,0,0,1,1,1,nan,30 dias com um grande mestre espiritualReligião e Espiritualidade ,50,50
Faça Cócegas na Alma,Anne Bryan Smollin,9781893732001,1893732002,2000,158,inglês,Verus,3.7,14,0,3,0,15,2,33,"A alegria é um estado mental É, na verdade, uma atitude que nos mantém saudáveis Todos nós nascemos com senso de humor, mas é um dom que precisa ir sendo cultivado no decorrer da vida E a recompensa por desenvolvermos o senso de humor é que, simultaneamente, estamos optando por saúde e bem-estar É disso que este livro trata: de alegria, de risada e de bom humor; de alternativas que nos ajudem a viver uma vida mais feliz e ajudem os que nos rodeiam a gostarem de nós cada vez mais; de encher nosso coração de vida; de franzir nossa face com sorrisos e não deixar que nossa alma murche A partir da abordagem de temas contemporâneos, o livro transmite uma sabedoria apreendida pela autora - conferencista, educadora e terapeuta - numa feliz combinação de princípios psicológicos e espirituais, histórias e saber popular", ,13,87
Entrega absoluta,John Kirvan,9788587795069,8587795066,2000,152,português,Verus,3.7,3,0,0,0,1,1,4,"Entrega Absoluta é uma jornada espiritual de trinta dias, baseada na simplicidade de Santa Teresinha, inquestionavelmente a santa mais popular e querida da história da Igreja Católica, especialmente nos últimos séculos A simplicidade de Santa Teresinha propõe um caminho de entrega confiante a Deus E esse é o caminho que tem sido adotado por milhões de pessoas Eis aqui uma oportunidade de meditar a profundidade dos discernimentos sem par de Santa Teresinha e de descobrir o poder que eles têm em nossa vida ""Vou buscar um meio de alcançar o céu por um caminho de simplicidade -- bem curto, bem plano e totalmente novo Tentarei encontrar um meio através do qual possa ser elevada em direção a Deus Nas Escrituras, deparei-me como estas palavras: 'Quem for pequenino, venha a mim!'"" Santa Teresinha","Autoajuda / Biografia, Autobiografia, Memórias / Religião e Espiritualidade ",29,71
A Arte da Atenção,Jean-Yves Leloup,9788587795236,8587795236,2000,152,português,Verus,3.0,2,0,1,0,12,2,12,"O homem não pára Esse ir e vir constante, a corrida diária, inquieta e muitas vezes mecânica são os frutos gerados pela modernidade E o resultado é uma sociedade em que todos têm pressa e o estresse é a grande doença que acomete a humanidade Será que há uma solução viável para esse caos cotidiano, que afoga, engole as emoções e o ser? Para Jean-Yves Leloup existe um remédio: a atenção ?A quem deseja viver com atenção será dada, além de suas mil e uma razões de rir, de suas mil e uma razões para chorar, a emoção pura e permanente de existir?, defende Leloup nesse livro Para ele, é a atenção que nos arranca do inferno que é a ausência de compaixão, o esquecimento de nós mesmos, o esquecimento do SerUm dos mais requisitados conferencistas da Europa, doutor em Psicologia e Teologia e um dos autores do movimento holístico, Leloup mostra nesta profunda e densa obra os caminhos a serem trilhados para se ter uma existência plena Ele toca em questões existenciais profundas, discute a espiritualidade, fala das religiões, da importância dos rituais e das múltiplas presenças de Deus, de forma aberta e livre de preconceitos de qualquer ordem Para isso, faz uso de pensamentos e máximas de conceituados espiritualistas, psicólogos, cientistas e poetas como Arthur Rimbaud, São Tomás de Aquino, Johannes Eckhart, Blaise Pascal, Nicoles de Malebranche, Marguerite Duras, Carlos Casteñeda, Émile Zola, Stéphane Mallarmé e Friederich Nietzche, o que torna o conteúdo de sua obra rico, profundo e indicado a todos que querem reencontrar o sentido e a beleza da vida",  ,42,58
Auto estima chave para a felicidade,Russel Abata,9788587795052,8587795058,2000,86,português,Verus,4.1,5,1,1,0,6,0,8," Muitos de nós investimos tempo e esforço buscando coisas que - acreditamos - nos ajudarão a sermos felizes E grande parte dessa felicidade pessoal depende do que os outros pensam a nosso respeito e - mais importante ainda - do que pensamos de nós mesmos Em outras palavras, nosso grau de auto-estima desempenha um papel vital em nossa felicidadeNeste livro, o autor Russel Abata conduz você, leitor, a uma jornada de autodescoberta - jornada que não apenas o ajudará a olhar-se como pessoa plena, mas também a descobrir que sua auto-imagem exerce um efeito poderoso em sua auto-estima e na confiança em si próprioAbata examina três importantes fontes de auto-estima: A influência enorme, até mesmo esmagadora, que as outras pessoas têm no julgamento que tecemos sobre nosso autovalor O papel fundamental que nossos próprios sentimentos desempenham em nosso julgamento sobre nós mesmos Nosso próprio self real: a pessoa plena e madura que deveria ser a base para nossa auto-estimaApós discutir tais fontes, o autor indica técnicas para descobrir-se o self real e fazer dele a base da auto-estima Também oferece orientações gerais para aqueles que sentem necessidade da ajuda de um conselheiro pessoal que possa conduzi-los à sua própria jornada interior de autodescoberta",Autoajuda ,50,50
Saindo da Depressão,Andrew Paige,9788587795021,8587795023,2000,104,português,Verus,4.3,3,0,0,0,2,1,5,"Neste livro o autor relata sua própria esperiência com a depressão, como passou por ela e como superou essa fase da sua vida", ,11,89
Nada te perturbe,John Kirvan,9788587795090,8587795090,2000,150,português,Verus,5.0,1,0,0,0,1,0,2,nan,nan,20,80
Oração da Serenidade,Philip St. Romain,9788587795083,8587795082,1999,110,português,Verus,3.5,4,0,0,0,29,1,3,"Neste livro, o autor se propõe a responder à pergunta 'Como obter serenidade?' A reflexão flui de modo simples e natural, ajudando-nos a contemplar uma realidade mais abrangente, despertando em nós a dimensão da fé, estimulando-nos a fincar nossos pés no chão, mas dirigindo nossos olhos para um mundo mais amplo de possibilidades"," E o lema tão conhecido pelos sábios, pelos santos, pelos que se dispõem a uma vida de crescimento verdadeiro e pleno passa a ter sentido para nós, enchendo-nos de esperançaReligião e Espiritualidade ",52,48
Cura da Dor Mais Profunda,DENNIS LINN; MATTHEW LINN; SHEILA FABRICANT LINN,9788587795014,8587795015,1999,190,português,Verus,5.0,2,0,1,0,8,0,4,"Fazendo-se valer da teologia,da psicologia contemporânea e de suas experiências no seu trabalho como terapeutas,conferencistas e conselheiros espirituais,Dennis,Sheila e Matthew Linn abordam neste livro como a perda de um ente querido pode afetar a vida de uma pessoa tanto do ponto de vista emocional quanto do físicoÉ este o propósito desta obra:indicar caminhos para a cura do sofrimento causado pela morte de um ente querido","Nela,vamos encontrar respostas para,entre outros, questionamentos como estes: É possível orar pelos mortos?É possível curar a relação com bebês abortados ou natimortos?É possível orar por grandes pecadores que já morreram e por suicidas?É possível não perder contato com nossos antepassados? ",21,79
Não perdoe cedo demais,Matthew Linn,9780809137046,0809137046,1997,138,português,Verus,4.0,2,0,0,0,33,2,3,"""Não perdoe cedo demais"" é um livro que acentua o fato de que não é tão simples nem tão fácil perdoar De um lado, é graça de Deus De outro, somos nós que exercitamos o perdão Para isso é necessário não queimarmos etapas O importante nisso tudo é que, durante esse processo, descubro que não preciso me posicionar como vítima nem como opressor É quando, então, estendo as duas mãos do perdão: uma delas posiciono contra o opressor, impedindo-o de continuar a me agredir ou a me ofender, fazendo-o parar; a outra se estende para acolher e auxiliar o ofensor, considerando-o alguém que faz parte do meu mundo, com direito a ser compreendido e perdoado", ,32,68
"O bem que você planta, você colhe",J. P. Vaswani,9788587795113,8587795112,1995,182,português,Verus,3.6,5,0,2,0,6,1,11,"Os grandes mestres sempre souberam que uma estória pode inflamar a alma e abrir a mente J P Vaswani, mestre de rara sensibilidade, oferece neste livro uma envolvente e refinada coletânea de estórias de sabedoriaSão estórias únicas, que nos levam a descobrir o verdadeiro sentido do sucesso e da felicidade ao nos ajudarem a refletir profundamente sobre nossa própria vida e sobre nosso mundo; ao alcançarem nosso coração de forma terna e sábia; ao servirem como inspiração para um novo viverAlgumas dessas estórias trazem à cena heróis e santos do passado, ao passo que outras nos falam de pessoas comuns dispersas ao longo da história Algumas delas vêm de gênios que moldaram e poliram suas percepções sob a forma de pérolas de sabedoria Agora elas aguardam pela descoberta e deleite dos leitores modernosVenha juntar-se você também à imensidão de pessoas em todo o mundo que vêm se beneficiando destas encantadoras estórias Elas, com certeza, lhe proporcionarão momentos inesquecíveis, uma sabedoria inestimável e uma perspectiva nova que lhe indicará caminhos criativos e motivadores para sua vida", ,9,91
